Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,4.625000,4.625000,4.625000,4.625000,1.561253,99200
1973-02-22,4.640625,4.640625,4.640625,4.640625,1.566527,47200
1973-02-23,4.625000,4.625000,4.625000,4.625000,1.561253,133600
1973-02-26,4.625000,4.625000,4.625000,4.625000,1.561253,24000
1973-02-27,4.625000,4.625000,4.625000,4.625000,1.561253,41600
1973-02-28,4.625000,4.625000,4.625000,4.625000,1.561253,66400
1973-03-01,4.656250,4.656250,4.656250,4.656250,1.571801,93600
1973-03-02,4.671875,4.671875,4.671875,4.671875,1.577075,26400
1973-03-05,4.734375,4.734375,4.734375,4.734375,1.598174,68000
1973-03-06,4.875000,4.875000,4.875000,4.875000,1.645645,76800
1973-03-07,4.875000,4.875000,4.875000,4.875000,1.645645,51200
1973-03-08,4.906250,4.906250,4.906250,4.906250,1.656193,84800
1973-03-09,4.906250,4.906250,4.906250,4.906250,1.656193,78400
1973-03-12,4.890625,4.890625,4.890625,4.890625,1.650919,73600
1973-03-13,4.906250,4.906250,4.906250,4.906250,1.656193,47200
1973-03-14,4.921875,4.921875,4.921875,4.921875,1.661467,50400
1973-03-15,4.906250,4.906250,4.906250,4.906250,1.656193,70400
1973-03-16,4.890625,4.890625,4.890625,4.890625,1.650919,44800
1973-03-19,4.843750,4.843750,4.843750,4.843750,1.635095,28000
1973-03-20,4.750000,4.750000,4.750000,4.750000,1.603448,68800
1973-03-21,4.687500,4.687500,4.687500,4.687500,1.582350,94400
1973-03-22,4.609375,4.609375,4.609375,4.609375,1.555977,55200
1973-03-23,4.609375,4.609375,4.609375,4.609375,1.555977,117600
1973-03-26,4.593750,4.593750,4.593750,4.593750,1.550703,9600
1973-03-27,4.593750,4.593750,4.593750,4.593750,1.550703,15200
1973-03-28,4.656250,4.656250,4.656250,4.656250,1.571801,141600
1973-03-29,4.718750,4.718750,4.718750,4.718750,1.592900,120000
1973-03-30,4.718750,4.718750,4.718750,4.718750,1.592900,85600
1973-04-02,4.687500,4.687500,4.687500,4.687500,1.582350,52800
1973-04-03,4.656250,4.656250,4.656250,4.656250,1.571801,23200
1973-04-04,4.625000,4.625000,4.625000,4.625000,1.561253,78400
1973-04-05,4.609375,4.609375,4.609375,4.609375,1.555977,78400
1973-04-06,4.609375,4.609375,4.609375,4.609375,1.555977,36000
1973-04-09,4.609375,4.609375,4.609375,4.609375,1.555977,28000
1973-04-10,4.718750,4.718750,4.718750,4.718750,1.592900,88800
1973-04-11,4.750000,4.750000,4.750000,4.750000,1.603448,144000
1973-04-12,4.812500,4.812500,4.812500,4.812500,1.624546,140800
